"id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G02Q04","G02Q05","G02Q05[other]","G02Q06","G02Q06[other]","G02Q07","G02Q07[other]","G02Q08","G02Q09","G03Q10","G03Q11","G03Q12","G03Q13[1]","G03Q13[2]","G03Q13[3]","G03Q13[4]","G03Q13[5]","G03Q13[6]","G03Q13[7]","G03Q13[8]","G03Q13[9]","G03Q13[10]","G03Q13[11]","G03Q14[1]","G03Q14[2]","G03Q14[3]","G03Q14[4]","G03Q14[5]","G03Q14[6]","G03Q14[7]","G03Q14[8]","G03Q14[9]","G03Q14[10]","G04Q15","G04Q16[1]","G04Q16[2]","G04Q16[3]","G04Q16[4]","G04Q16[5]","G04Q16[6]","G04Q16[7]","G04Q16[8]","G04Q16[9]","G04Q16[10]","G04Q16[11]","G04Q16[12]","G04Q16[13]","G04Q16[14]","G04Q16[15]","G04Q16[16]","G04Q16[17]","G04Q16[18]","G04Q16[19]","G04Q16[20]","G05Q17","G05Q18[1]","G05Q18[2]","G05Q18[3]","G05Q18[4]","G05Q18[5]","G05Q19[1]","G05Q19[2]","G05Q19[3]","G05Q19[4]","G05Q19[5]","G05Q19[6]"
"38","1980-01-01 00:00:00","5","en","289018431","1","1","1","25","2","","4","","3","","Healthcare","","","4","3","5","6","7","4","5","4","7","3","3","6","6","5","4","6","4","5","5","6","4","6","6","","3","5","2","2","3","4","1","3","1","4","1","1","4","4","2","4","2","3","4","2","","6","5","2","3","3","1","5","1","2","4","4"
"39","1980-01-01 00:00:00","5","en","1311650973","1","2","1","33","2","","4","","3","","it","it consultant","","7","7","4","4","5","5","5","6","7","6","6","6","6","6","5","5","6","6","6","5","6","6","6","","5","4","4","4","5","4","4","4","1","4","4","5","4","4","3","4","5","5","5","5","","4","5","5","5","5","5","4","6","6","6","6"
"40","1980-01-01 00:00:00","5","en","1554617906","1","1","1","22","2","","4","","1","","university","correcting tasks of students (game design)","","5","4","5","5","6","4","6","5","7","5","6","6","6","5","6","6","5","6","6","6","6","7","6","","4","5","2","2","2","5","3","4","1","5","2","2","2","2","4","5","2","4","5","5","","5","6","6","6","6","2","2","3","4","4","4"
"41","1980-01-01 00:00:00","5","en","1522007870","1","1","1","27","1","","4","","3","","Supply Chain","Supply Chain WS","","6","2","6","5","7","4","6","4","7","5","6","4","4","6","5","6","4","4","4","4","4","5","5","","4","4","4","2","1","2","1","3","1","2","1","3","2","3","2","1","2","1","1","1","","7","5","6","3","4","5","6","6","6","5","6"
"42","1980-01-01 00:00:00","5","en","1553582003","1","1","1","26","1","","4","","3","","Projectmanagement IT","working student ","","6","5","5","5","4","4","7","6","7","6","6","5","6","4","5","6","5","6","6","5","5","6","6","","5","6","5","6","5","6","5","6","1","6","5","7","5","7","6","7","6","4","5","6","","6","5","6","5","6","7","7","6","6","7","6"
"43","1980-01-01 00:00:00","5","en","145052303","1","1","1","23","2","","4","","1","","retail (jewellery industry)","mini jobber","","6","1","1","1","1","1","1","1","7","1","1","1","1","5","5","5","5","5","4","5","5","5","4","","2","5","4","4","1","2","2","4","1","4","3","4","1","4","4","5","4","1","3","1","","5","5","2","5","2","1","1","1","1","4","1"
"44","1980-01-01 00:00:00","5","en","1560096283","1","1","1","23","2","","4","","1","","Management","Student job","","5","5","7","6","7","6","5","6","7","6","6","7","7","5","6","6","6","6","7","6","6","7","6","","6","7","4","2","4","6","5","5","1","6","2","5","3","4","4","6","2","5","5","5","","5","5","6","6","5","6","6","6","5","6","6"
"45","1980-01-01 00:00:00","5","en","590105715","1","1","1","25","2","","4","","3","","UX Research","Research assistant","","6","5","6","6","7","5","5","6","7","6","6","6","6","6","6","6","5","5","7","6","7","7","6","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","6","6","6","6","6","6","6","6","6","6","6"
"46","1980-01-01 00:00:00","5","en","910668166","1","1","1","26","1","","4","","3","","Marketing","Paid Media Consultant","","7","6","7","6","7","4","6","6","7","6","6","5","5","4","4","5","3","5","5","5","6","6","5","","6","2","5","1","2","2","6","5","1","2","1","1","1","6","6","2","1","1","5","2","","5","5","6","6","6","5","5","4","3","4","2"
"47","1980-01-01 00:00:00","5","en","281407083","1","1","1","26","2","","4","","3","","Nutrition education","","","3","4","5","3","6","3","4","4","7","5","5","6","6","5","5","6","3","5","2","5","5","5","5","","4","4","3","2","2","2","3","4","1","2","2","3","3","4","2","2","2","2","3","2","","4","4","3","4","2","4","5","5","4","4","4"
"48","1980-01-01 00:00:00","5","en","938587280","1","1","1","25","2","","4","","3","","Revenue Operations","Working Student Revenue Operations and Commercial Strategy","","4","6","7","7","7","6","7","7","7","7","7","7","7","6","6","6","6","5","5","6","5","6","6","","6","7","6","1","3","6","6","5","1","6","2","5","3","5","5","5","4","2","6","1","","5","6","4","2","5","7","6","5","4","5","5"
"49","1980-01-01 00:00:00","5","en","1446783991","1","1","1","24","2","","4","","4","","Consulting ","Strategy Analyst ","","6","6","6","6","6","6","6","6","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","6","2","6","2","3","3","5","5","1","5","1","1","5","5","4","5","2","5","5","2","","6","6","6","6","6","5","5","5","5","5","5"
"50","1980-01-01 00:00:00","5","en","784187825","1","1","1","23","1","","4","","3","","IT","Data Analyst","","7","5","6","5","7","4","7","6","7","6","7","5","6","5","5","6","5","6","7","7","5","6","6","","6","4","7","1","6","4","5","7","1","4","1","3","5","7","6","4","1","2","4","1","","6","7","6","7","5","3","5","6","5","6","7"
"51","1980-01-01 00:00:00","5","en","1629876135","1","1","1","24","2","","4","","1","","communication","","","5","5","5","4","7","4","5","5","7","6","6","7","7","3","4","5","5","5","5","5","5","5","5","","3","2","1","1","2","2","2","3","1","2","1","2","3","4","3","4","3","2","5","2","","5","5","3","4","4","5","5","5","5","5","5"
"52","1980-01-01 00:00:00","5","en","393298789","1","1","1","29","1","","4","","3","","Quality Management","Working student","","5","6","5","4","6","5","6","5","7","3","3","6","6","3","2","3","3","2","3","4","4","5","3","","2","3","1","4","1","4","1","1","1","1","4","1","3","1","1","1","5","1","3","1","","5","5","6","3","5","4","5","5","5","4","2"
"53","1980-01-01 00:00:00","5","en","540662895","1","1","1","28","2","","4","","4","","consulting","consultant","","7","7","4","4","6","2","6","2","7","2","4","4","2","5","2","5","2","2","2","2","2","2","4","","5","1","5","5","1","1","2","4","1","2","3","1","1","5","1","1","1","2","2","1","","4","3","4","4","3","5","6","6","6","6","6"
"54","1980-01-01 00:00:00","5","en","1301640177","1","1","1","21","2","","4","","1","","Event","Event Manager part time to University ","","6","5","6","5","7","4","5","6","7","7","7","7","7","5","4","5","4","5","5","5","5","5","5","","5","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","7","6","6","6","6","1","1","1","1","1","1"
"55","1980-01-01 00:00:00","5","en","1415152503","1","1","1","27","2","","4","","3","","Content-Management (Marketing)","Working student","","1","3","3","3","5","3","5","4","7","5","4","4","5","2","2","2","2","2","2","2","2","2","2","","1","1","2","4","1","1","1","4","1","1","1","1","1","4","1","1","4","1","1","1","","3","4","1","1","1","1","1","1","1","1","1"
"56","1980-01-01 00:00:00","5","en","1528751032","1","1","1","32","2","","4","","3","","Social Worker","","","7","5","6","5","6","5","5","6","7","5","6","6","5","6","5","5","6","5","4","6","4","6","6","","5","4","6","2","5","6","5","7","1","3","1","2","1","6","6","3","2","4","1","1","","3","2","3","3","3","3","2","3","3","3","3"
"57","1980-01-01 00:00:00","5","en","2029799339","1","1","1","28","2","","4","","2","","Verwaltung","Mitarbeiterin in einer Hausverwaltung","","4","6","6","6","6","6","5","6","7","5","6","6","6","5","5","5","4","4","5","4","4","4","4","","5","5","5","2","2","1","4","5","1","3","1","3","2","5","4","3","3","3","3","3","","4","3","5","5","5","5","4","6","4","4","4"
